Day,Work_Hours,Sleep_Hours,Study_Minutes,Break_Time,Stress_Level,Recommended_Activity
Selasa,510,450,45,30,3,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Rabu,30,570,20,120,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Kamis,60,510,30,30,1,Minum Teh Herbal: Teh herbal seperti chamomile dapat membantu meredakan stres.
Jumat,300,360,35,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Sabtu,240,120,40,30,3,Berpartisipasi dalam Olahraga Ringan: Olahraga ringan seperti berenang atau bersepeda dapat membantu meredakan stres.
Minggu,60,30,45,120,3,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Senin,60,480,40,30,1,Mendengarkan Musik yang Menenangkan: Dengarkan musik yang menenangkan atau alam suara.
Selasa,720,90,35,30,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Rabu,570,180,30,120,5,Bergabung dengan Kelompok Dukungan: Bergabunglah dengan kelompok dukungan untuk berbagi pengalaman dengan orang lain.
Kamis,630,450,45,30,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Jumat,420,510,35,30,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Sabtu,600,270,30,120,2,Yoga atau Pilates: Latihan fisik ini dapat membantu meredakan stres dan meningkatkan kesejahteraan.
Minggu,300,480,40,120,1,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Senin,30,120,20,120,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Selasa,30,270,40,30,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,420,330,45,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Kamis,300,420,35,120,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Jumat,510,150,30,60,4,Mengorganisir Ruang Kerja atau Rumah: Rapihkan ruang kerja atau rumah untuk menciptakan lingkungan yang nyaman.
Sabtu,360,330,40,30,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Minggu,630,210,20,120,3,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Senin,480,450,35,30,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,240,30,30,120,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Rabu,630,570,40,90,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Kamis,120,210,30,60,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Jumat,300,420,45,60,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Sabtu,690,600,20,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Minggu,480,270,40,90,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Senin,210,510,30,60,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Selasa,120,600,45,120,1,Minum Teh Herbal: Teh herbal seperti chamomile dapat membantu meredakan stres.
Rabu,120,450,20,60,1,Menulis di Jurnal: Menulis pikiran atau perasaan Anda dapat membantu mengurangi stres.
Kamis,330,60,40,90,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Jumat,630,390,35,60,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Sabtu,420,450,30,30,1,Menulis di Jurnal: Menulis pikiran atau perasaan Anda dapat membantu mengurangi stres.
Minggu,510,540,45,90,2,Meditasi Pernapasan: Fokus pada pernapasan untuk menenangkan pikiran.
Senin,540,180,30,60,4,Menghadiri Sesi Terapi Kelompok: Ikuti sesi terapi kelompok untuk berbagi pengalaman dengan orang lain.
Selasa,510,240,40,30,4,Mengurangi Stimulan: Kurangi konsumsi kafein dan gula untuk membantu menstabilkan mood.
Rabu,630,270,35,30,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Kamis,90,150,30,30,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Jumat,150,360,30,120,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Sabtu,60,60,40,120,2,Yoga atau Pilates: Latihan fisik ini dapat membantu meredakan stres dan meningkatkan kesejahteraan.
Minggu,150,300,45,120,3,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Senin,300,600,20,120,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Selasa,600,600,40,90,4,Menghadiri Sesi Terapi Kelompok: Ikuti sesi terapi kelompok untuk berbagi pengalaman dengan orang lain.
Rabu,540,540,45,60,3,"Pentingkan Diri Sendiri: Luangkan waktu untuk merawat diri sendiri, seperti mandi panas atau spa di rumah."
Kamis,120,570,20,90,1,Melakukan Hobi: Luangkan waktu untuk melakukan hobi yang disukai.
Jumat,30,150,45,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Sabtu,510,480,35,30,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Minggu,450,30,30,120,3,"Pentingkan Diri Sendiri: Luangkan waktu untuk merawat diri sendiri, seperti mandi panas atau spa di rumah."
Senin,480,450,35,120,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Selasa,660,510,30,120,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Rabu,420,360,40,120,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Kamis,540,240,30,120,4,Aktivitas Fisik Intensif: Lakukan olahraga intensif untuk melepaskan energi negatif.
Jumat,420,300,35,30,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Sabtu,420,300,45,30,2,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Minggu,660,450,20,60,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Senin,540,450,30,120,3,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Selasa,330,90,45,30,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Rabu,480,180,20,60,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Kamis,630,270,30,120,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Jumat,150,90,40,60,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Sabtu,720,330,30,60,3,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Minggu,270,180,45,90,3,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Senin,600,180,40,90,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Selasa,690,30,35,30,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Rabu,330,330,30,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Kamis,90,60,20,30,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Jumat,210,570,45,120,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Sabtu,330,150,35,90,3,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Minggu,510,60,40,30,2,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,570,210,45,120,5,Bergabung dengan Kelompok Dukungan: Bergabunglah dengan kelompok dukungan untuk berbagi pengalaman dengan orang lain.
Selasa,360,390,30,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Rabu,210,30,40,120,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Kamis,180,210,30,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Jumat,660,570,40,60,5,Konseling atau Terapi: Pertimbangkan untuk berkonsultasi dengan seorang profesional kesehatan mental.
Sabtu,540,300,35,60,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Minggu,330,600,30,90,1,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Senin,660,270,20,30,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Selasa,570,510,35,90,4,Mengorganisir Ruang Kerja atau Rumah: Rapihkan ruang kerja atau rumah untuk menciptakan lingkungan yang nyaman.
Rabu,270,90,45,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Kamis,630,570,40,90,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Jumat,300,510,30,60,1,Minum Teh Herbal: Teh herbal seperti chamomile dapat membantu meredakan stres.
Sabtu,270,120,40,120,2,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Minggu,30,300,35,90,3,"Pentingkan Diri Sendiri: Luangkan waktu untuk merawat diri sendiri, seperti mandi panas atau spa di rumah."
Senin,660,120,30,90,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Selasa,360,540,40,120,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Rabu,210,270,20,30,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Kamis,390,30,35,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Jumat,330,480,30,90,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Sabtu,180,60,45,120,3,Yoga atau Pilates: Latihan fisik ini dapat membantu meredakan stres dan meningkatkan kesejahteraan.
Minggu,270,120,30,60,3,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Senin,420,420,45,60,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,600,240,30,60,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Rabu,240,330,35,60,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Kamis,90,90,20,30,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Jumat,330,450,30,30,1,Minum Teh Herbal: Teh herbal seperti chamomile dapat membantu meredakan stres.
Sabtu,150,570,45,120,1,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Minggu,540,210,30,90,2,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Senin,510,360,35,30,4,Konseling atau Terapi Pendukung: Cari dukungan profesional dari seorang konselor atau terapis.
Selasa,240,90,30,60,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,180,150,40,60,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Kamis,300,30,35,60,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Jumat,360,60,30,30,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Sabtu,360,240,30,90,3,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Minggu,720,210,40,90,3,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,90,420,45,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,330,390,40,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Rabu,150,270,20,120,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Kamis,420,420,40,60,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Jumat,180,510,45,90,1,Meditasi Pernapasan: Fokus pada pernapasan untuk menenangkan pikiran.
Sabtu,360,300,35,30,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Minggu,630,60,30,30,3,Bermain dengan Hewan Peliharaan: Interaksi dengan hewan peliharaan dapat meningkatkan suasana hati.
Senin,120,360,40,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,180,390,20,60,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Rabu,390,360,20,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Kamis,180,150,40,90,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Jumat,660,510,35,30,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Sabtu,450,480,30,120,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Minggu,630,210,45,30,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,330,240,30,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,690,600,40,60,5,Konseling atau Terapi: Pertimbangkan untuk berkonsultasi dengan seorang profesional kesehatan mental.
Rabu,420,480,35,120,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Kamis,330,480,30,30,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Jumat,570,420,30,30,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Sabtu,30,270,40,30,3,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Minggu,450,420,45,30,2,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,690,360,20,90,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
Selasa,510,450,40,90,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Rabu,30,90,45,30,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Kamis,180,270,20,30,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Jumat,480,510,45,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Sabtu,690,390,35,90,3,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Minggu,390,570,20,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Senin,480,570,20,90,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Selasa,420,330,40,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,690,60,35,120,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Kamis,90,540,30,30,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Jumat,210,120,35,90,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Sabtu,150,480,40,90,1,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Minggu,150,90,45,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Senin,570,510,30,30,4,Menghadiri Sesi Terapi Kelompok: Ikuti sesi terapi kelompok untuk berbagi pengalaman dengan orang lain.
Selasa,240,90,45,120,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,270,150,40,30,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Kamis,180,390,30,60,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Jumat,390,60,40,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Sabtu,450,510,35,90,2,Minum Teh Herbal: Teh herbal seperti chamomile dapat membantu meredakan stres.
Minggu,690,30,30,120,3,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Senin,60,120,20,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Selasa,300,240,30,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Rabu,570,150,35,120,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Kamis,240,360,40,60,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Jumat,510,450,30,30,3,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Sabtu,210,600,30,90,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Minggu,510,450,45,120,1,Mendengarkan Musik yang Menenangkan: Dengarkan musik yang menenangkan atau alam suara.
Senin,180,120,40,120,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Selasa,600,480,35,30,4,Menghadiri Sesi Terapi Kelompok: Ikuti sesi terapi kelompok untuk berbagi pengalaman dengan orang lain.
Rabu,120,270,30,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Kamis,420,330,45,30,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Jumat,510,300,20,60,4,Mengurangi Stimulan: Kurangi konsumsi kafein dan gula untuk membantu menstabilkan mood.
Sabtu,540,570,20,60,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Minggu,570,390,40,60,3,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Senin,630,510,35,120,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Selasa,660,120,30,120,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Rabu,660,480,35,30,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Kamis,660,360,40,90,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Jumat,360,540,45,90,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Sabtu,120,180,30,60,3,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Minggu,180,60,45,120,3,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Senin,30,420,40,120,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,630,510,35,30,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Rabu,330,270,30,60,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Kamis,180,540,20,90,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Jumat,660,90,45,30,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Sabtu,30,360,35,60,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Minggu,240,120,40,120,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Senin,150,390,45,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,360,510,30,120,1,Membaca Buku Ringan: Baca buku yang menyenangkan dan ringan.
Rabu,360,390,40,30,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Kamis,360,360,30,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Jumat,270,150,40,120,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Sabtu,330,120,35,60,2,Bermain dengan Hewan Peliharaan: Interaksi dengan hewan peliharaan dapat meningkatkan suasana hati.
Minggu,270,150,30,60,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,60,510,20,30,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Selasa,630,450,35,60,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
Rabu,510,480,45,120,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Kamis,390,120,40,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Jumat,510,150,30,90,4,Mengorganisir Ruang Kerja atau Rumah: Rapihkan ruang kerja atau rumah untuk menciptakan lingkungan yang nyaman.
Sabtu,720,300,45,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Minggu,690,570,30,60,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Senin,180,60,35,120,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Selasa,570,240,30,60,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Rabu,30,180,40,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Kamis,180,30,35,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
